title,location,posted_on,deadline,details,institute,link,keyword
Postdoctoral Researcher on Computational Modelling of Emotional Memory Binding,Netherlands,24 June 2025,20 Aug 2025 - 21:59 (UTC),"How do memories work together to create the stories of our lives? While we know a lot about the processing of single (emotional) events on the one hand, and autobiographical memory on the other, connecting these two fields is a challenge. This project is part of an NWO-funded (Vidi) project that...",University of Amsterdam (UvA) via AcademicTransfer,/jobs/354717,Behavioral_Data_Science
Postdoc position on Form Adaptive Multilayer Engineering (FAME),Netherlands,24 June 2025,15 Sep 2025 - 21:59 (UTC),"Staying in focus is a fundamental challenge in highly demanding optical systems where imaging plays a central role – from microscopes to telescopes, but also for advanced lithography. For the next-generation “hyper-NA” lithographic tool of ASML, the demands of keeping the wafer surface at the focal...",AcademicTransfer,/jobs/354719,Behavioral_Data_Science
Postdoctoral Researcher,Poland,23 June 2025,15 Aug 2025 - 23:59 (Europe/Warsaw),"In 2011, the scientific community got excited with a tweet: ""It would take an elephant, balanced on a pencil, to break through a sheet of graphene the thickness of cling film."" Since 2007, graphene has entered the collective consciousness as a wonder, super-durable material and, as a forerunner...","Adam Mickiewicz University, Poznań",/jobs/354697,Behavioral_Data_Science
Four PhD Fellowships in subsurface characterization,Norway,20 June 2025,15 Aug 2025 - 23:59 (Europe/Oslo),"Job descriptionThe University of Stavanger invites applicants for four PhD Fellowships in subsurface characterization within geosciences, reservoir engineering, molecular modelling, and machine learning at the Faculty of Science and Technology, National Centre for Sustainable Subsurface Utilization...",University of Stavanger,/jobs/354269,Behavioral_Data_Science
GPS-Free Mobility Analysis Platform for Low-Power Wireless Devices,France,20 June 2025,30 Sep 2025 - 00:00 (UTC),"Research on mobile systems focuses on collecting and analyzing spatiotemporal datasets, providing valuable insights into the mobility patterns of users and goods. However, gathering such data presents significant challenges, particularly in developing non-intrusive data acquisition strategies. These...",inria,/jobs/354059,Behavioral_Data_Science
Pstdoctoral fellow within molecular Neuroanatomy,Sweden,20 June 2025,5 Sep 2025 - 21:59 (UTC),Description of the research groupThe Molecular Neuroanatomy research group at the Department of Experimental Medical Sciences within the Faculty of Medicine conducts research in molecular and functional neuroanatomy with a focus on increasing the spatial precision of treatment methods such as deep...,Lund University via MyNetwork,/jobs/354108,Behavioral_Data_Science
"PhD on Investigating and fostering socio-technical transformation at the nexus of electricity, heat, and mobility",Netherlands,19 June 2025,31 Aug 2025 - 21:59 (UTC),"Do you have a social science background and are you passionate about making society more sustainable? Do you want to better understand how different socio-technical systems like electricity, heating, and mobility interact—and how they can be transformed to support sustainability?We are offering a...",AcademicTransfer,/jobs/353806,Behavioral_Data_Science
PhD scholarships in Economics,Denmark,18 June 2025,22 Aug 2025 - 23:59 (Europe/Copenhagen),"The Department of Economics at Copenhagen Business School invites applications for a number of vacant PhD scholarships in Economics. The expected start date is February 1, 2026.The Department of Economics provides research, teaching, and knowledge exchange within the core areas of economics, i.e...",Copenhagen Business School,/jobs/353733,Behavioral_Data_Science
Postdoctoral researcher in Population Geography / Spatial Demography (M/F),France,18 June 2025,26 Aug 2025 - 00:00 (UTC),"For a long time, one of the classic approaches to studying populations has been to analyse through a geographical analysis. Beyond mere description, mapping populations in space can also help to reveal the factors that explain their spatial patterns and dynamics, as well as their behaviour. This...",CNRS - National Center for Scientific Research,/jobs/353525,Behavioral_Data_Science
PhD student (m/f/d),Germany,17 June 2025,11 Nov 2025 - 00:00 (Europe/Berlin),"At the Research Institute for Farm Animal Biology (FBN), we strive to advance sustainable livestock farming in a globalized world. Our research focuses on enhancing resource efficiency while addressing both local and global environmental and climate impacts. We prioritize animal welfare, health, and...",FBN Dummerstorf,/jobs/353267,Behavioral_Data_Science
Postdoc Expert Witness Testimony at the International Criminal Court,Netherlands,1 August 2025,17 Aug 2025 - 21:59 (UTC),"Welcome to Maastricht UniversityAt Maastricht University (UM), we are committed to solving real-world problems through cutting-edge, interdisciplinary research. As a postdoctoral researcher in this unique project, you will contribute to a deeper understanding of how expert witness testimony is...",Maastricht University via AcademicTransfer,/jobs/365961,Cognitive_Neuroscience
Postdoctoral Research Fellows in Computational Linguistics,Australia,1 August 2025,20 Aug 2025 - 00:00 (UTC),1 x Part-Time (28 hours per week) Position for 2 years with an emphasis on data modelling and corpus-based investigations* 1 x Part-Time (28 hours per week) Position for 1 year with an emphasis on international online and lab-based data collection + large dataset management Both positions will be...,Times Higher Education,/jobs/365994,Cognitive_Neuroscience
FPCEUP| One Assistant Professor| Psychology| Edital 1404/2025- Pr. 166 (2023.14305.TENURE.022),Portugal,31 July 2025,12 Sep 2025 - 23:59 (Europe/Lisbon),"University of PortoNotice No.1404/2025 Dr. Maria Joana Mesquita Cruz Barbosa de Carvalho, Associate Professor with Aggregation at the Faculty of Sports of the University of Porto, Vice-Rector of the same University:I hereby announce that, by order of 25 July 2025, in the exercise of the powers...",Universidade do Porto – HR,/jobs/365922,Cognitive_Neuroscience
Call for the award of 1 (one) Research Grant for Masters enrolled in a non-degree course - Notice no. BICNCG/11/FARM-ID/2025,Portugal,31 July 2025,14 Aug 2025 - 23:59 (Europe/Lisbon),"It is made known that a call for the award of 1 (one) Research Grant for Masters enrolled in a non-degree course the scope of the project with the reference PTDC/MED-PAT/2582/2021, entitled: “Redução Fotoquímica de Proteínas” exclusively funded by national funds from the Fundação para a Ciência e a...",FARM-ID - Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento,/jobs/365880,Cognitive_Neuroscience
Tenure-track lecturer in Psychological sciences (008/2025_LE),Spain,31 July 2025,22 Sep 2025 - 23:59 (Europe/Madrid),"The Universitat de Girona (UdG), part of the public university system of Catalonia, is recognized for its excellence in research and its commitment to social progress. It promotes science, technology, the humanities and the arts with a clear vocation for cooperation and social responsibility...",Universitat de Girona,/jobs/365778,Cognitive_Neuroscience
PhD offer : Understanding the Hedonic Response to Touch (M/F),France,31 July 2025,30 Aug 2025 - 00:00 (UTC),"The work will be carried out under the joint supervision of Laurence Mouchnino at ISM, and co-supervisors Jean-Marc Aimonetti and Rochelle Ackerley at CRPN. The research will be conducted both at ISM on the Luminy campus and at CRPN on the Saint Charles campus, and occasionally in other laboratories...",CNRS - National Center for Scientific Research,/jobs/365687,Cognitive_Neuroscience
PhD Position in Auditory Cognitive and Computational Neuroscience,Netherlands,31 July 2025,17 Aug 2025 - 21:59 (UTC),Join a cutting-edge project investigating how the brain and body dynamically engage with sound in real-world listening situations.Job DescriptionWe are looking for a motivated PhD candidate to join an interdisciplinary project investigating how the human brain and body adaptively engage with sound...,Maastricht University via AcademicTransfer,/jobs/365611,Cognitive_Neuroscience
Research Fellowship (CIPSI-ID-ICDT-16461-01),Portugal,30 July 2025,31 Aug 2025 - 23:59 (Europe/Lisbon),"ANNOUNCEMENT FOR THE AWARD OF A RESEARCH FELLOWSHIP Title: Research Fellowship - 1 positionReference: CIPSI-ID-ICDT-16461-01 A call for applications is now open for the attribution of 1 (one) Research Fellowship within the scope of the project ""PEERWISE: Peer Feedback Susceptibility in Adolescent...",Centro de Investigação em Psicologia (CIPsi),/jobs/365543,Cognitive_Neuroscience
ASSISTANT RESEARCHERS (6) FOR THE i3S ASSOCIATED LABORATORY,Portugal,30 July 2025,1 Sep 2025 - 23:59 (Europe/Lisbon),"A call for applications has opened for six Assistant Researchers at i3S, to carry out roles aligned with the objectives of the Institute for Health Research and Innovation - i3S-LA Associated Laboratory. The scientific strategy motivating these Assistant Researcher positions aims to assemble a...",Instituto de Investigação e Inovação em Saúde da Universidade do Porto (i3S),/jobs/365535,Cognitive_Neuroscience
Psychologist,Romania,30 July 2025,8 Aug 2025 - 16:00 (Europe/Bucharest),"Position available within the research project entitled: “Enhancing cognitive-behavioral therapy by neuroscience: novel approaches to understand treatment response for anxiety and depressive disorders in adolescents”, project number 760043 from 23.05.2023, cod CF 278/30.11.2022",Babes-Bolyai University,/jobs/365496,Cognitive_Neuroscience
Post-Doctoral Research Position in Disorders of Consciousness Research,Poland,6 August 2025,31 Aug 2025 - 23:59 (Europe/Warsaw),1. Project DescriptionDisorders of consciousness (DOC) following severe brain injury present major diagnostic challenges due to ambiguous behavioral responses and limited theoretical understanding of the mechanisms underlying consciousness. This project aims to develop a multimodal diagnostic...,Faculty of Philosophy,/jobs/366835,EEG
Research Technician,Portugal,4 August 2025,24 Aug 2025 - 05:00 (Europe/Lisbon),"Fundação D. Anna de Sommer Champalimaud e Dr. Carlos Montez Champalimaud (Champalimaud Foundation), a private, non-profit research institution, is opening a call for a Research Technician. Eligible candidates must hold a Bachelor's degree in Biomedical Sciences, Neurophysiology, Physiological...",Champalimaud Foundation,/jobs/366428,EEG
Hardware Scientist (Job Ref: AICOS_Jobs_2025_23),Portugal,4 August 2025,14 Aug 2025 - 23:59 (Europe/Lisbon),"Hardware Scientist Job Title: Hardware ScientistJob Ref: AICOS_Jobs_2025_23Job Type: Full-time contract.Job Salary: €1,751.27 (depending on the candidate's professional experience).Job Location: Porto, Portugal.Job Description:Fraunhofer Portugal AICOS is seeking a talented Hardware Scientistin...",Associação Fraunhofer Portugal Research,/jobs/366426,EEG
University assistant predoctoral 1,Austria,2 August 2025,21 Aug 2025 - 00:00 (UTC),"Job description: At the University of Vienna, over 10,000 people work together on the big questions of the future. Approximately 7,500 of them are academic staff members. These are individuals who, with their curiosity and their continuous pursuit of excellence, engage in international cutting-edge...",University of Vienna (JOBCENTER),/jobs/366268,EEG
"Research Assistant position at the emergent Team “Ecological Cognition and Computation” at Inserm, Lyon",France,1 August 2025,31 Aug 2025 - 12:00 (Europe/Paris),"We are looking for a Research Manager for our emergent Team “Ecological Cognition and Computation” led by Dr Nils Kolling, which is strongly associated with the Team “Neurobiology of Executive functions”, both part of Inserm, Auvergne Rhône-Alpes. The primary aim of our team is understanding of how...",inserm,/jobs/366179,EEG
