title,location,posted_on,institute,keyword
Forschungsprofessur für Angewandtes Maschinelles Lernen für Naturwissenschaft und Technik (W2),München,21.07.2025,Hochschule für angewandte Wissenschaften München,NeuralDecoding
W2 Professorship (W3 tenure track position) in Language Technology (m/f/x),Saarbrücken,24.07.2025,Universität des Saarlandes,NeuralDecoding
Senior Scientist / Group Leader on Bioinformatics / Computational Biology on RNA Regulation in Disease (f/m/d; tenured),Mannheim,29.07.2025,Universität Heidelberg - Medizinische Fakultät / Medical Faculty Mannheim of Heidelberg University,NeuralDecoding
,,,,NeuralDecoding
Generalmusikdirektor*in,Freiburg,24.07.2025,Theater Freiburg,MotorControl_Neuroengineering
Professur für Verfahrenstechnik (m/w/d),Augsburg,14.07.2025,Technische Hochschule Augsburg,MotorControl_Neuroengineering
"Abteilungsleitungen (m/w/d) für die Forschungsschwerpunkte ""Nachhaltiges Bauen & Innovative Baustoffe"", ""Umwelttechnik & Kreislaufwirtschaft"" und ""Bauteilinnovationen, Sensorik & Simulationen für Industrieanwendungen""",Weimar,17.07.2025,Materialforschungs- und -prüfanstalt an der Bauhaus-Universität Weimar (MFPA) über DEACK,MotorControl_Neuroengineering
,,,,MotorControl_Neuroengineering
Rektorin / Rektor (m/w/d),"Albstadt, Sigmaringen",29.07.2025,Hochschule Albstadt-Sigmaringen,MotorControl_Neuroengineering
Präsident (w/m/d),Nürnberg,18.07.2025,Technische Hochschule Nürnberg Georg Simon Ohm,MotorControl_Neuroengineering
W3-Professur für Energiesystemtechnik,Rostock,29.07.2025,Universität Rostock,MotorControl_Neuroengineering
Akademischer Mitarbeiter (m/w/d) für Innovation und Internationalisierung in der Luft- und Raumfahrttechnik,Friedrichshafen,28.07.2025,Duale Hochschule Baden-Württemberg (DHBW) Ravensburg,MotorControl_Neuroengineering
Forschungsprofessur für Angewandtes Maschinelles Lernen für Naturwissenschaft und Technik (W2),München,21.07.2025,Hochschule für angewandte Wissenschaften München,NeuralDecoding
W2 Professorship (W3 tenure track position) in Language Technology (m/f/x),Saarbrücken,24.07.2025,Universität des Saarlandes,NeuralDecoding
