title,location,posted_on,deadline,details,institute,link
Emotional Assessment and Adaptation of Voice-Based LLMs in Assistive Robotics for Elderly Care and Ethical Challenges (M/F),France,Posted on: 25 July 2025,14 Aug 2025 - 23:59 (UTC),"LISN, parc de GPU, labIA, Jean-Zay Context: As part of the ANR HUMAAINE: HUMAN-MACHINE AFFECTIVE INTERACTION & ETHICS chair at LISN-CNRS, we have been developing research on oral interaction with social robots. 5 theses have already been defended on emotion detection systems (Feng, 2025; Deschamps...",CNRS - National Center for Scientific Research,/jobs/364211
Researcher in experimentation environment FPGA for quantified neural networks,France,Posted on: 16 July 2025,17 Aug 2025 - 20:00 (Europe/Paris),"Current research in neural network efficiency include heterogeneous quantization, custom number representation, sparse data storage, etc. In order to demonstrate efficiency improvements of hardware implementation of neural networks, fully operational FPGA prototyping is necessary toexhibit...",Grenoble INP - Institute of Engineering,/jobs/361700
PhD Position Low-Power Digital IC Design for ML-based Signal Processing,Netherlands,Posted on: 8 July 2025,10 Aug 2025 - 21:59 (UTC),Ready to re-imagine how tiny pieces of silicon can run powerful machine-learning algorithms within a few milliwatts?Ready to re-imagine how tiny pieces of silicon can run powerful machine-learning algorithms within a few milliwatts? Join the Lab of Efficient Machine Intelligence led by Dr. Chang Gao...,Delft University of Technology via AcademicTransfer,/jobs/359054
One or more PhD stipends in Classification and Identification of Underwater Anomalies,Denmark,Posted on: 3 July 2025,29 Jul 2025 - 21:59 (UTC),"At the Faculty of Engineering and Science, AAU Energy offers a PhD stipend position within the general study program. The position is offered in relation to the research group Underwater Technology, and the PhD Students will be positioned in the Esbjerg Energy section.The positions are part of the...",Aalborg Universitet,/jobs/357895
PhD on Neuromorphic-photonics-assisted front-end for edge computing – SpikeHERO project,Netherlands,Posted on: 28 June 2025,10 Aug 2025 - 21:59 (UTC),"The Photonic Neural Network Lab, together with the High Capacity Optical Transmission Lab’s in the Electro-Optics Communication (ECO) group at Eindhoven University of Technology (TU/e) are recruiting a PhD candidate to research novel neuromorphic-photonics-assisted front-ends for edge computing.The...",AcademicTransfer,/jobs/356496
"Project Worker / Research Assistant, Building AI Models for Adaptive Gas Sensing",Finland,Posted on: 27 June 2025,1 Aug 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by making research breakthroughs in and across our disciplines, sparking the game changers of tomorrow and creating novel solutions to major global challenges. Our community is made up of 120...",Aalto University,/jobs/356214
PhD in Efficient hardware implementations of networks with intra-layer heterogeneous quantization - TIMA,France,Posted on: 26 June 2025,18 Aug 2025 - 20:00 (Europe/Paris),"Usual digital neural networks consist of large amounts of matrix-vector of matrix-matrix multiplication operations. Thus, the design of dedicated hardware acceleration circuits for digital neural networks mostly focuses on accelerating these matrix operations. The involved matrices are often...",Grenoble INP - Institute of Engineering,/jobs/355873
"Project Worker / Research Assistant, Building AI Models for Adaptive Gas Sensing",Finland,Posted on: 26 June 2025,1 Aug 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by making research breakthroughs in and across our disciplines, sparking the game changers of tomorrow and creating novel solutions to major global challenges. Our community is made up of 120...",Times Higher Education,/jobs/355605
Postdoctoral fellow in Computer Vision and Machine Learning,Sweden,Posted on: 25 June 2025,17 Aug 2025 - 22:00 (UTC),"This multidisciplinary position is part of a WASP NEST (Novelty, Excellence, Synergy, Teams) project focused on advancing generative models and perceptual understanding in computer vision. The position is embedded in a vibrant research environment that includes several PhD students and postdoctoral...",Talentech,/jobs/355045
Postdoctoral fellowship - Artificial Intelligence and Mobility: Gait Mode Classification via Deep  Learning to Enhance Robotic Assistance and Inclusion of People with Disabilities,France,Posted on: 19 June 2025,15 Sep 2025 - 18:00 (Europe/Paris),"We invite applications for a 24-month postdoctoral research position within the framework of the ERASME program, which supports socially engaged science. The project focuses on improving mobility, autonomy, and rehabilitation outcomes for individuals with motor impairments, particularly post-stroke...",Université Paris Est Créteil,/jobs/354007
