title,location,posted_on,deadline,details,institute,link,keyword
Hardware-aware embedded AI for innovative healthcare applications,Belgium,19 June 2025,1 Oct 2025 - 23:59 (UTC),Hardware-aware embedded AI for innovative healthcare applications,KU Leuven,/jobs/353818,AI_for_Neural_Signal_Processing
"MSCA Postdoctoral Fellowships 2025 hosting offer at RTU Faculty of Computer Science, Information Technology and Energy  (FCSITE)",Latvia,18 May 2025,1 August 2025,"Riga Technical University (RTU) is a modern, internationally recognised, and prestigious university, the only multi-disciplinary technical university in Latvia. The core of the university is research – the creation of new knowledge and its transfer. We teach future engineers and high-tech...",Riga Technical University,/jobs/hosting/msca-postdoctoral-fellowships-2025-hosting-offer-rtu-faculty-computer-science,AI_for_Neural_Signal_Processing
Sonar Image Registration of the Seafloor for Underwater Drone Navigation Using Contrastive Learning,France,16 May 2025,31 Aug 2025 - 23:00 (Europe/Paris),"Scientific Background or State of the Art:Autonomous environment assessment in underwater settings during naval operations in unknown areas remains a challenging problem. Sonar images have limited range and do not directly provide a global view of the environment. Therefore, aligning (or registering...",IMT Atlantique,/jobs/344665,AI_for_Neural_Signal_Processing
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,28 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-4,AI_for_Neural_Signal_Processing
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,23 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-3,AI_for_Neural_Signal_Processing
Improving Computer Vision Models through Neural Signal Integration and Causal Inference (VINCI),France,18 April 2025,31 Aug 2025 - 23:00 (Europe/Paris),"Thesis supervisor : Adrien MERLINIThesis co-supervisors : Mai Quyen PHAM, Giulia LIOI, Javen SHI & Zhen ZHANGThesis co-supervised with The University of Adelaide, Australia Scientific Context:Artificial Intelligence (AI) has achieved remarkable progress in tasks traditionally requiring human...",IMT Atlantique,/jobs/337380,AI_for_Neural_Signal_Processing
Apprentissage auto-supervisé efficace et interprétable par des méthodes tensorielles // Guaranteed efficiency and interpretability in self-supervised learning by leveraging tensor methods,France,15 March 2025,31 Jul 2025 - 22:00 (UTC),"L'apprentissage auto-supervisé a joué un rôle central dans les progrès récents en IA et dans ce que l'on appelle les modèles de fondation, permettant d'exploiter de grandes quantités de données non-étiquetées (texte, image, vidéo, etc.) pour apprendre des représentations qui peuvent ensuite être...",ABG  - Association Bernard Gregory,/jobs/325914,AI_for_Neural_Signal_Processing
PhD Candidates / Spontaneous Applications,Luxembourg,12 February 2025,11 Feb 2026 - 02:57 (UTC),"About us... The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Interdisciplinary Centre for Security, Reliability and Trust (SnT) at the University of Luxembourg is a leading international research and innovation...",University of Luxembourg,/jobs/316146,AI_for_Neural_Signal_Processing
PostDoc Fellowship: Neural Control of Leg Exoskeletons Post Stroke.,Netherlands,27 June 2025,24 Aug 2025 - 21:59 (UTC),"Our mission is to restore natural gait patterns in individuals with motor impairment (due to stroke, spinal cord injury etc) through real-time neural control of wearable robotic exoskeletons. You will be developing next-generation (low and high-level) control algorithms for wearable exoskeletons...",AcademicTransfer,/jobs/356087,Closed-Loop_Motor_Control
PostDoc Fellowship: Robotic and Electrical Stimulation Platform for Integral Neuromuscular Enhancement (RE-SPINE),Netherlands,2 July 2025,21 Aug 2025 - 21:59 (UTC),Motor recovery after neuromuscular injuries is often sub-optimal. These limitations largely stem from current rehabilitation technologies operating with limited knowledge of pathology-specific neuromuscular characteristics and their response to prescribed treatments. Based on the technologies...,AcademicTransfer,/jobs/357429,Neural_Decoding
