,title,location,posted_on,deadline,details,institute,link,keyword,comb,exist
1,Postdoc position on Form Adaptive Multilayer Engineering (FAME),Netherlands,24 June 2025,15 Sep 2025 - 21:59 (UTC),"Staying in focus is a fundamental challenge in highly demanding optical systems where imaging plays a central role – from microscopes to telescopes, but also for advanced lithography. For the next-generation “hyper-NA” lithographic tool of ASML, the demands of keeping the wafer surface at the focal...",AcademicTransfer,/jobs/354719,Behavioral_Data_Science,24 June 2025|/jobs/354719,False
2,Postdoctoral Researcher,Poland,23 June 2025,15 Aug 2025 - 23:59 (Europe/Warsaw),"In 2011, the scientific community got excited with a tweet: ""It would take an elephant, balanced on a pencil, to break through a sheet of graphene the thickness of cling film."" Since 2007, graphene has entered the collective consciousness as a wonder, super-durable material and, as a forerunner...","Adam Mickiewicz University, Poznań",/jobs/354697,Behavioral_Data_Science,23 June 2025|/jobs/354697,False
3,Four PhD Fellowships in subsurface characterization,Norway,20 June 2025,15 Aug 2025 - 23:59 (Europe/Oslo),"Job descriptionThe University of Stavanger invites applicants for four PhD Fellowships in subsurface characterization within geosciences, reservoir engineering, molecular modelling, and machine learning at the Faculty of Science and Technology, National Centre for Sustainable Subsurface Utilization...",University of Stavanger,/jobs/354269,Behavioral_Data_Science,20 June 2025|/jobs/354269,False
4,GPS-Free Mobility Analysis Platform for Low-Power Wireless Devices,France,20 June 2025,30 Sep 2025 - 00:00 (UTC),"Research on mobile systems focuses on collecting and analyzing spatiotemporal datasets, providing valuable insights into the mobility patterns of users and goods. However, gathering such data presents significant challenges, particularly in developing non-intrusive data acquisition strategies. These...",inria,/jobs/354059,Behavioral_Data_Science,20 June 2025|/jobs/354059,False
6,"PhD on Investigating and fostering socio-technical transformation at the nexus of electricity, heat, and mobility",Netherlands,19 June 2025,31 Aug 2025 - 21:59 (UTC),"Do you have a social science background and are you passionate about making society more sustainable? Do you want to better understand how different socio-technical systems like electricity, heating, and mobility interact—and how they can be transformed to support sustainability?We are offering a...",AcademicTransfer,/jobs/353806,Behavioral_Data_Science,19 June 2025|/jobs/353806,False
7,PhD scholarships in Economics,Denmark,18 June 2025,22 Aug 2025 - 23:59 (Europe/Copenhagen),"The Department of Economics at Copenhagen Business School invites applications for a number of vacant PhD scholarships in Economics. The expected start date is February 1, 2026.The Department of Economics provides research, teaching, and knowledge exchange within the core areas of economics, i.e...",Copenhagen Business School,/jobs/353733,Behavioral_Data_Science,18 June 2025|/jobs/353733,False
8,Postdoctoral researcher in Population Geography / Spatial Demography (M/F),France,18 June 2025,26 Aug 2025 - 00:00 (UTC),"For a long time, one of the classic approaches to studying populations has been to analyse through a geographical analysis. Beyond mere description, mapping populations in space can also help to reveal the factors that explain their spatial patterns and dynamics, as well as their behaviour. This...",CNRS - National Center for Scientific Research,/jobs/353525,Behavioral_Data_Science,18 June 2025|/jobs/353525,False
9,PhD student (m/f/d),Germany,17 June 2025,11 Nov 2025 - 00:00 (Europe/Berlin),"At the Research Institute for Farm Animal Biology (FBN), we strive to advance sustainable livestock farming in a globalized world. Our research focuses on enhancing resource efficiency while addressing both local and global environmental and climate impacts. We prioritize animal welfare, health, and...",FBN Dummerstorf,/jobs/353267,Behavioral_Data_Science,17 June 2025|/jobs/353267,False
19,Psychologist,Romania,30 July 2025,8 Aug 2025 - 16:00 (Europe/Bucharest),"Position available within the research project entitled: “Enhancing cognitive-behavioral therapy by neuroscience: novel approaches to understand treatment response for anxiety and depressive disorders in adolescents”, project number 760043 from 23.05.2023, cod CF 278/30.11.2022",Babes-Bolyai University,/jobs/365496,Cognitive_Neuroscience,30 July 2025|/jobs/365496,False
20,Post-Doctoral Research Position in Disorders of Consciousness Research,Poland,6 August 2025,31 Aug 2025 - 23:59 (Europe/Warsaw),1. Project DescriptionDisorders of consciousness (DOC) following severe brain injury present major diagnostic challenges due to ambiguous behavioral responses and limited theoretical understanding of the mechanisms underlying consciousness. This project aims to develop a multimodal diagnostic...,Faculty of Philosophy,/jobs/366835,EEG,6 August 2025|/jobs/366835,False
21,Research Technician,Portugal,4 August 2025,24 Aug 2025 - 05:00 (Europe/Lisbon),"Fundação D. Anna de Sommer Champalimaud e Dr. Carlos Montez Champalimaud (Champalimaud Foundation), a private, non-profit research institution, is opening a call for a Research Technician. Eligible candidates must hold a Bachelor's degree in Biomedical Sciences, Neurophysiology, Physiological...",Champalimaud Foundation,/jobs/366428,EEG,4 August 2025|/jobs/366428,False
22,Hardware Scientist (Job Ref: AICOS_Jobs_2025_23),Portugal,4 August 2025,14 Aug 2025 - 23:59 (Europe/Lisbon),"Hardware Scientist Job Title: Hardware ScientistJob Ref: AICOS_Jobs_2025_23Job Type: Full-time contract.Job Salary: €1,751.27 (depending on the candidate's professional experience).Job Location: Porto, Portugal.Job Description:Fraunhofer Portugal AICOS is seeking a talented Hardware Scientistin...",Associação Fraunhofer Portugal Research,/jobs/366426,EEG,4 August 2025|/jobs/366426,False
23,University assistant predoctoral 1,Austria,2 August 2025,21 Aug 2025 - 00:00 (UTC),"Job description: At the University of Vienna, over 10,000 people work together on the big questions of the future. Approximately 7,500 of them are academic staff members. These are individuals who, with their curiosity and their continuous pursuit of excellence, engage in international cutting-edge...",University of Vienna (JOBCENTER),/jobs/366268,EEG,2 August 2025|/jobs/366268,False
27,Scientific Research Fellowship (BII)  044/2025,Portugal,30 July 2025,1 Sep 2025 - 23:59 (Europe/London),NOTICE N.º 044/2025OPEN CALL FOR RESEARCH GRANT APPLICATION WITHIN THE TERMS LAID DOWN OF THE REGULATIONS FOR RESEARCH SCHOLARSHIPS OF THE UNIVERSITY OF ALGARVETITLE: 1 Research Initiation GrantIt is now open a call for 1 Research Initiation Grant within the project ‘Neuroplasticity in stuttering...,University of Algarve,/jobs/365547,EEG,30 July 2025|/jobs/365547,False
30,One (1) Postdoctoral Researcher Position [Ref # ORZ-0795],Greece,6 August 2025,16 Aug 2025 - 23:59 (Europe/Athens),The research group of Systems Neuroscience of IMBB under the European Program ERC-2022-STG - NEURACT entitled “Untangling population representations of objects. A closed loop approach to link neural activity to mouse behavior” (Program Coordinator Prof. Froudarakis) invites applications for one (1)...,Foundation for Research and Technology-Hellas,/jobs/366781,Computational_Neuroscience,6 August 2025|/jobs/366781,False
31,Post-Doctoral Researcher in Neuroimaging Neuroscience,Australia,6 August 2025,3 Sep 2025 - 00:00 (UTC),"Full-time, fixed term opportunity for two years Position description: Postdoctoral Research Associate in Neuroimaging Neuroscience Location: O'Callaghan group, School of Medical Sciences, Faculty of Medicine and Health, University of Sydney Base Salary starting at $113,400 + 17% superannuation About...",Times Higher Education,/jobs/366692,Computational_Neuroscience,6 August 2025|/jobs/366692,False
32,Biozentrum PhD Fellowships &ndash; Winter Call 2025_26,Switzerland,6 August 2025,3 Sep 2025 - 21:59 (UTC),"The Biozentrum of the University of Basel is one of the leading life sciences institutes in the world. Its fundamental research embraces a wide range of topics such as biochemistry, biophysics, physics of living systems, structural biology, microbiology, infection biology and immunology, cell and...",Academic Positions,/jobs/366715,Computational_Neuroscience,6 August 2025|/jobs/366715,False
33,AI algorithms Developer for the Clinical Neurosciences Research Group,Spain,5 August 2025,31 Aug 2025 - 14:00 (Europe/Madrid),The selected person will join the research line Injury Identification and Recovery: Biomarkers within the Clinical Neurosciences Group to carry out tasks related to the PReDICT project: Pediatric stroke Rare Disordes: Integrative Diagnosis and Treatment using Multi-Omics and Deep Learning (PMPER24...,"Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré (IRBLleida)",/jobs/366561,Computational_Neuroscience,5 August 2025|/jobs/366561,False
34,Senior Trial Manager,Australia,5 August 2025,17 Aug 2025 - 00:00 (UTC),"Classification: ANU Officer 8 (Research) Salary package: $118,399 to $126,607 per annum (pro rata if part time) plus 17% superannuation Term: Full time or Part time (0.6 FTE), Fixed Term (up to 2 years) Position Description and Selection Criteria: PD and PEWER O8 Senior Trial Manager_JCSMR.pdf The...",Times Higher Education,/jobs/366473,Computational_Neuroscience,5 August 2025|/jobs/366473,False
35,PhD student to develop model-based reconstruction methods for quantitative super-resolution perfusion magnetic resonance imaging (MRI),Belgium,5 August 2025,20 Aug 2025 - 21:59 (UTC),"Let’s shape the future - University of AntwerpThe University of Antwerp is a dynamic, forward-thinking, European university. We offer an innovative academic education to more than 20000 students, conduct pioneering scientific research and play an important service-providing role in society. We are...",University of Antwerp,/jobs/366487,Computational_Neuroscience,5 August 2025|/jobs/366487,False
36,JYU Visiting Fellow Programme 2026,Finland,5 August 2025,15 Sep 2025 - 20:59 (UTC),"CALL FOR APPLICATIONSJYU Visiting Fellow Programme 2026The University of Jyväskylä (JYU), Finland, invites applications for the JYU Visiting Fellow Programme 2026. The programme supports researchers with a doctoral degree, who are from outside Finland, to visit JYU for one (30 calendar days) to...",Academic Positions,/jobs/366502,Computational_Neuroscience,5 August 2025|/jobs/366502,False
41,MSCA-PF: Joint application at the University of Granada. Department of Physical Education & Sports.,Spain,25 April 2025,10 September 2025,"Professor Jose Heredia-Jimenez, from the Department of Physical Education & Sports at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please note that applicants must...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-physical-education-sports-0,EEG,25 April 2025|/jobs/hosting/msca-pf-joint-application-university-granada-department-physical-education-sports-0,False
42,"MSCA POSTDOCTORAL FELLOWSHIPS AT VU FACULTY OF MEDICINE, TRANSLATIONAL HEALTH RESEARCH INSTITUTE, CENTER FOR APPLIED NEUROSCIENCES (electroencephalography, neurotechnology, biomarkers)",Lithuania,23 April 2025,10 August 2025,"Vilnius University (VU) invites motivated researchers with a strong track record to prepare joint applications for  2025 Marie Skłodowska-Curie Actions Postdoctoral Fellowships (MSCA PF) call with a deadline on September 10, 2025. MSCA PF are among the flagship, most prestigious research...",Vilnius University,/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-medicine-translational-health-research-1,EEG,23 April 2025|/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-medicine-translational-health-research-1,False
49,ENACT Transport optimal pour la classification automatique et la modélisation de données spectroscopiques multimodales : application au diagnostic in vivo de cancers de la peau // ENACT Optimal transport approaches for multimodal spectroscopic data automa,France,18 March 2025,30 Sep 2025 - 22:00 (UTC),"1. Contexte de recherche Les procédures cliniques standard de diagnostic des cancers de la peau impliquent des examens visuels, suivis de biopsies chirurgicales, qui sont invasives et pas toujours précises [1]. En revanche, les méthodes de spectro-imagerie optique ont un potentiel pour la...",ABG  - Association Bernard Gregory,/jobs/326494,EEG,18 March 2025|/jobs/326494,False
70,MSCA-PF 2024 Hosting offers at Sabancı Business School,Türkiye,4 March 2025,10 September 2025,The Sabanci Business School at Sabanci University is looking for outstanding post-doctoral researchers who are willing to apply for Marie Sklodowska –Curie Actions (MSCA) Postdoctoral Fellowships (PF) for the 2025 call. The interested candidates will have the opportunity to work with...,Sabanci University,/jobs/hosting/msca-pf-2024-hosting-offers-sabanci-business-school-0,Behavioral_Data_Science,4 March 2025|/jobs/hosting/msca-pf-2024-hosting-offers-sabanci-business-school-0,False
