,title,location,posted_on,institute,keyword,comb,exist
0,Forschungsprofessur für Angewandtes Maschinelles Lernen für Naturwissenschaft und Technik (W2),München,21.07.2025,Hochschule für angewandte Wissenschaften München,NeuralDecoding,21.07.2025|München,False
1,W2 Professorship (W3 tenure track position) in Language Technology (m/f/x),Saarbrücken,24.07.2025,Universität des Saarlandes,NeuralDecoding,24.07.2025|Saarbrücken,False
2,Senior Scientist / Group Leader on Bioinformatics / Computational Biology on RNA Regulation in Disease (f/m/d; tenured),Mannheim,29.07.2025,Universität Heidelberg - Medizinische Fakultät / Medical Faculty Mannheim of Heidelberg University,NeuralDecoding,29.07.2025|Mannheim,False
3,,,,,NeuralDecoding,nan|nan,False
4,Generalmusikdirektor*in,Freiburg,24.07.2025,Theater Freiburg,MotorControl_Neuroengineering,24.07.2025|Freiburg,False
5,Professur für Verfahrenstechnik (m/w/d),Augsburg,14.07.2025,Technische Hochschule Augsburg,MotorControl_Neuroengineering,14.07.2025|Augsburg,False
6,"Abteilungsleitungen (m/w/d) für die Forschungsschwerpunkte ""Nachhaltiges Bauen & Innovative Baustoffe"", ""Umwelttechnik & Kreislaufwirtschaft"" und ""Bauteilinnovationen, Sensorik & Simulationen für Industrieanwendungen""",Weimar,17.07.2025,Materialforschungs- und -prüfanstalt an der Bauhaus-Universität Weimar (MFPA) über DEACK,MotorControl_Neuroengineering,17.07.2025|Weimar,False
8,Rektorin / Rektor (m/w/d),"Albstadt, Sigmaringen",29.07.2025,Hochschule Albstadt-Sigmaringen,MotorControl_Neuroengineering,"29.07.2025|Albstadt, Sigmaringen",False
9,Präsident (w/m/d),Nürnberg,18.07.2025,Technische Hochschule Nürnberg Georg Simon Ohm,MotorControl_Neuroengineering,18.07.2025|Nürnberg,False
10,W3-Professur für Energiesystemtechnik,Rostock,29.07.2025,Universität Rostock,MotorControl_Neuroengineering,29.07.2025|Rostock,False
11,Akademischer Mitarbeiter (m/w/d) für Innovation und Internationalisierung in der Luft- und Raumfahrttechnik,Friedrichshafen,28.07.2025,Duale Hochschule Baden-Württemberg (DHBW) Ravensburg,MotorControl_Neuroengineering,28.07.2025|Friedrichshafen,False
16,Wissenschaftliche:r Informatiker:in (w/m/d) im Forschungsprojekt,Bremen,23.07.2025,Hochschule Bremen HSB,BrainMachine_Interface,23.07.2025|Bremen,False
17,Wissenschaftliche:r Nautiker:in (w/m/d) im Forschungsprojekt,Bremen,23.07.2025,Hochschule Bremen HSB,BrainMachine_Interface,23.07.2025|Bremen,False
18,University assistant predoctoral,Wien,01.08.2025,Universität Wien,BrainMachine_Interface,01.08.2025|Wien,False
20,"Juniorprofessur für ""Erkenntnis, Sprache, Geist"" (W1 mit Tenure-Track nach W2)",Berlin,16.07.2025,Humboldt-Universität zu Berlin,BrainMachine_Interface,16.07.2025|Berlin,False
21,Professur (W2) auf Zeit (6 Jahre/tenure track) für Translationale Neurodegeneration,München,24.07.2025,Ludwig-Maximilians-Universität München,BrainMachine_Interface,24.07.2025|München,False
23,W2-Professur Grundlagen Informatik (d/m/w),Flensburg,24.07.2025,Hochschule Flensburg / University of Applied Sciences,BrainMachine_Interface,24.07.2025|Flensburg,False
24,Universitätsprofessur (Bes. Gr. W3) „Medizinische Psychologie“,Essen,17.07.2025,Universitätsklinikum Essen,BrainMachine_Interface,17.07.2025|Essen,False
25,Doctoral Researchers: Up to 6 Fully Funded Positions in Data Science & Health,Heidelberg,14.07.2025,Deutsches Krebsforschungszentrum (DKFZ),BrainMachine_Interface,14.07.2025|Heidelberg,False
26,Professor and Head of the National Centre for Register-based Research,Aarhus (Dänemark),05.08.2025,Aarhus Universitet,BrainMachine_Interface,05.08.2025|Aarhus (Dänemark),False
27,"Wissenschaftliche:r Mitarbeiter:in (w/m/d), Schwerpunkt Lehre in der Physiologie",Berlin,18.07.2025,MSB Medical School Berlin - Hochschule für Gesundheit und Medizin,MotorCortex_Electrophysiology,18.07.2025|Berlin,False
28,W3-Professur für Physiologie,Erlangen,21.07.2025,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),MotorCortex_Electrophysiology,21.07.2025|Erlangen,False
35,University assistant predoctoral 1,Wien,01.08.2025,Universität Wien,Cognitiveand_Systems_Neuroscience,01.08.2025|Wien,False
38,Wissenschaftliche*r Mitarbeiter*in (Doktorand*in),Marburg,30.07.2025,Philipps-Universität Marburg,Cognitiveand_Systems_Neuroscience,30.07.2025|Marburg,False
39,W3-Professur für Neurodegeneration (w/m/d) (ohne Leitungsfunktion),Ulm,31.07.2025,Universitätsklinikum Ulm,Cognitiveand_Systems_Neuroscience,31.07.2025|Ulm,False
40,Associate Professor or Professor in organisational communication,Odense (Dänemark),25.07.2025,Syddansk Universitet (SDU),Cognitiveand_Systems_Neuroscience,25.07.2025|Odense (Dänemark),False
41,Universitätsprofessur (W 3) für Neuroimaging und Psychopathologie,Würzburg,10.07.2025,Julius-Maximilians-Universität Würzburg,Cognitiveand_Systems_Neuroscience,10.07.2025|Würzburg,False
42,"Operative Leitung (d/w/m) der Plattform Mikroskopische Bildgebung im Forschungshaus ""Der Simulierte Mensch""",Berlin,14.07.2025,Charité - Universitätsmedizin Berlin,Cognitiveand_Systems_Neuroscience,14.07.2025|Berlin,False
43,W3-Professur für Augenheilkunde (w/m/d),Tübingen,31.07.2025,Eberhard Karls Universität Tübingen - Medizinische Fakultät,Cognitiveand_Systems_Neuroscience,31.07.2025|Tübingen,False
45,Professor (m/w/d) (W3) für Wissenschaftsphilosophie & Erkenntnistheorie,Nürnberg,18.07.2025,Technische Universität Nürnberg,Cognitiveand_Systems_Neuroscience,18.07.2025|Nürnberg,False
46,W3 Professorship in Sensor-Based AI and Biosignal Processing (f/m/d),Lübeck,04.08.2025,Universität zu Lübeck,NeuralSignal_Processing,04.08.2025|Lübeck,False
47,Assistant/Associate Professor Department of Computer Science,Wien (Österreich),01.08.2025,Webster Vienna Private University,NeuralSignal_Processing,01.08.2025|Wien (Österreich),False
51,"Universitätsprofessur für ""Künstliche Intelligenz""",Duisburg,31.07.2025,Universität Duisburg-Essen,Brain-InspiredAI_Architectures,31.07.2025|Duisburg,False
52,Professur (m/w/d) für Machine Learning & Generative AI,Hagenberg (Österreich),14.07.2025,FH OÖ Studienbetriebs GmbH,Brain-InspiredAI_Architectures,14.07.2025|Hagenberg (Österreich),False
53,W3-Professur für Microeconomics and Artificial Intelligence (m/w/d),Kaiserslautern,31.07.2025,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (RPTU),Brain-InspiredAI_Architectures,31.07.2025|Kaiserslautern,False
55,Universitätsprofessur (Bes. Gr. W2) für „Künstliche Intelligenz in der Hals-Nasen-Ohren-Heilkunde und Kopf-Hals-Chirurgie“,Essen,17.07.2025,Universitätsklinikum Essen,Brain-InspiredAI_Architectures,17.07.2025|Essen,False
56,W1 Professorship with tenure track to W2 in Artificial Intelligence (f/m/d),Göttingen,17.07.2025,Georg-August-Universität Göttingen,Brain-InspiredAI_Architectures,17.07.2025|Göttingen,False
58,Werkstudent*in (m/w/d) mit Schwerpunkt Künstliche Intelligenz,Augsburg,18.07.2025,Stadtwerke Augsburg Holding GmbH,Brain-InspiredAI_Architectures,18.07.2025|Augsburg,False
60,Universitätsprofessur (W2) KI und Multimedia in der künstlerischen Praxis,Dortmund,17.07.2025,Technische Universität Dortmund,Brain-InspiredAI_Architectures,17.07.2025|Dortmund,False
61,"W3-Professur für Wirtschafts- informatik und Künstliche Intelligenz, insbesondere Beherrschung von Cyberrisiken (LBesG) (m/w/d)",,17.07.2025,Universität Trier,Brain-InspiredAI_Architectures,17.07.2025|nan,False
62,Juniorprofessur (W1) Digitale Musikwissenschaft mit Schwerpunkt Künstliche Intelligenz,Dortmund,17.07.2025,Technische Universität Dortmund,Brain-InspiredAI_Architectures,17.07.2025|Dortmund,False
63,Professur (W2): Wirtschaftsmathematik/-statistik und Künstliche Intelligenz,Merseburg,28.07.2025,Hochschule Merseburg,Brain-InspiredAI_Architectures,28.07.2025|Merseburg,False
64,W2-Professur Künstliche Intelligenz und Angewandte Mathematik,Hannover,17.07.2025,Hochschule Hannover University of Applied Sciences and Arts,Brain-InspiredAI_Architectures,17.07.2025|Hannover,False
65,Studentische Aushilfe (d/m/w) Schwerpunkt KI-Kompetenz für Wirtschafts- und Politikberatung,Berlin,04.08.2025,Prognos AG,Brain-InspiredAI_Architectures,04.08.2025|Berlin,False
